Academic_Year,State_Code,State_Name,District_Code,District_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Upperprimary_Female,Upperprimary_and_Secondary_Male,Upperprimary_and_Secondary_Female,Only_Secondary_Male,Only_Secondary_Female,Secondary_and_Highersecondary_Male,Secondary_and_Highersecondary_Female,Only_Highersecondary_Male,Only_Highersecondary_Female,Total_Teacher,Total_Male,Total_Female
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),6, SS (I-X) ,5,Post graduate,7,Diploma/degree in special education,1,2,0,0,0,9,1,5,5,6,2,3,0,2,0,0,1,0,37,10,27
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),2,UPS (I-VIII) ,5,Post graduate,7,Diploma/degree in special education,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,5,0,5
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),11,HSS (XI-XII),6,M.Phil,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),6, SS (I-X) ,6,M.Phil,2,Bachelor of Elementary Education (B.El.Ed.),0,2,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,8,1,7
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),2,UPS (I-VIII) ,6,M.Phil,3,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,3
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),1,PS (I-V) ,5,Post graduate,7,Diploma/degree in special education,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),7,SS (VI-X),6,M.Phil,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),5, HSS (VI-XII),6,M.Phil,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),3,HSS (I-XII),6,M.Phil,4,M.Ed. or equivalent,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),3,HSS (I-XII),6,M.Phil,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
