country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,"Navi Mumbai","Sector-2E Kalamboli, Navi Mumbai - MPCB","12-11-2025 02:00:00",19.02579,73.10297,NO2,12,117,35
India,Maharashtra,"Navi Mumbai","Tondare-Taloja, Navi Mumbai - MPCB","12-11-2025 02:00:00",19.0630,73.1209,NH3,4,10,7
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB","12-11-2025 02:00:00",19.265594,76.761463,NO2,NA,NA,NA
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB","12-11-2025 02:00:00",19.265594,76.761463,SO2,2,19,8
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB","12-11-2025 02:00:00",18.59051,73.77946,PM10,81,151,114
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB","12-11-2025 02:00:00",19.0632143,72.8456324,NH3,4,15,10
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB","12-11-2025 02:00:00",19.0632143,72.8456324,CO,19,48,32
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB","12-11-2025 02:00:00",19.0632143,72.8456324,OZONE,1,109,24
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM","12-11-2025 02:00:00",19.1653323,72.922099,OZONE,2,143,63
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB","12-11-2025 02:00:00",19.0863,72.8888,PM2.5,71,121,89
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB","12-11-2025 02:00:00",19.0863,72.8888,CO,10,20,17
India,Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB","12-11-2025 02:00:00",19.10861,72.83622,CO,24,26,24
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB","12-11-2025 02:00:00",21.121801,79.04952,SO2,5,117,31
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB","12-11-2025 02:00:00",21.14472,79.107595,OZONE,1,29,5
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB","12-11-2025 02:00:00",21.152875,79.0517531,NH3,1,12,5
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB","12-11-2025 02:00:00",21.152875,79.0517531,SO2,1,110,16
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB","12-11-2025 02:00:00",18.910000,72.820000,PM2.5,20,102,49
