state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
Karnataka,"Bengaluru Urban","Bangalore North",Lakshmipura,Kammasandra,Kammasandra,0000373710,0005834547,250008483,"Deep Tubewell","Ground Water","Village limit","Drinking Water Facility to Anganawadi",2013-2014,1.00000,0.99285,"15 Sep 2013","31 Jan 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Kittanahalli,Bettahalli,Bettahalli,0000373721,0005834676,250008543,"Deep Tubewell","Ground Water","Village limit","Drinking Water Facility to Anganawadi",2013-2014,1.00000,0.00000,"15 Sep 2013","13 Nov 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Kittanahalli,Mallasandra,Mallasandra,0000373725,0005834679,250008546,"Deep Tubewell","Ground Water","Village limit","Drinking Water Facility to Anganawadi",2013-2014,1.00000,0.99868,"15 Sep 2013","12 Feb 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Kittanahalli,Kenganahalli,Kenganahalli,0000373716,0005834680,250008547,"Deep Tubewell","Ground Water","Village limit","Drinking Water Facility to Anganawadi",2013-2014,1.00000,0.99868,"15 Sep 2013","10 Feb 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Kadabagere,Kadabagere,Kadabagere,0000373758,0006849601,250075958,"Deep Tubewell","Ground Water",chikkagollarahatti,"G TFC 20.10.2014 Drilling of Borewell 3 Chikkagollaharhatti in kadabagere habitation",2014-2015,5.23000,3.49370,"10 Dec 2014","31 Mar 2019",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Lakshmipura,Gangondanahalli,Gangondanahalli,0001622923,0006849650,250075998,"Deep Tubewell","Ground Water",NA,"G TFC 20.10.2014 Drilling of Borewell in Gangagondanahalli habitation",2014-2015,2.00000,1.99857,"10 Dec 2014","31 Mar 2016",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Kadabagere,Kadabagere,Kadabagere,0000373758,0006849655,250076003,"Deep Tubewell","Ground Water",NA,"TFC 20.10.2014 Drilling of Borewell-in kadabagere habitation",2014-2015,2.00000,1.99772,"10 Dec 2014","18 Mar 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Madanayakanahalli,Madanayakanahalli,Madanayakanahalli,0000373703,0006849666,250076014,"Deep Tubewell","Ground Water",NA,"G TFC 20.10.2014 Drilling of Borewell 2 in Madanayakanahalli habitation",2014-2015,4.00000,3.99658,"10 Dec 2014","31 Dec 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Dasanapura,Dasanapura,Dasanapura,0000373660,0006849806,250076148,"Deep Tubewell","Ground Water",adakamaranahalli,"TFC 20.10.2014 Drilling of Borewell-adakamaranahalli in Dasanapura habitation",2014-2015,2.00000,0.00000,"10 Dec 2014","10 Feb 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Somashettihalli,Somashettihally,Somashettihally,0000373654,0006849965,250076186,"Deep Tubewell","Ground Water",kabbepalya,"G TFC 20.10.2014 Drilling of Borewell in kabbe palya somashetthihali habitation",2014-2015,3.90000,3.88383,"10 Dec 2014","01 Sep 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Madanayakanahalli,Madanayakanahalli,Madanayakanahalli,0000373703,0006942291,250080143,"Deep Tubewell","Ground Water","Nandishwara Badavane","G TFC130315 Drilling of Borewell at Madanayakanahalli Habitation,Madanayakanahalli GP, Bangalore North Taluk.",2014-2015,2.25000,2.24557,"20 Apr 2015","01 Sep 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Kadabagere,Kadabagere,Kadabagere,0000373758,0006942896,250080156,"Deep Tubewell","Ground Water",Chikkagollarahatti,"G TFC130315 Drilling of Borewell at Chikkagollarahatti  Habitation Kadabagere GP, Bangalore North Taluk.",2014-2015,3.04000,3.03160,"20 Apr 2015","01 Sep 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Chikkabanawara,Chikkabanawara,Kemapura,0001622902,0006373626,250034548,"Deep Tubewell","Ground Water","Village limit","G Revival of MWS Scheme",2013-2014,6.00000,6.31343,"28 Apr 2014","31 Dec 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Chikkabanawara,"Kempapura J H C","Kempapura J H C",0000373651,0006373638,250034558,"Deep Tubewell","Ground Water","Village  limit","Revival of MWS Scheme",2013-2014,6.00000,5.61147,"25 Apr 2014","01 Mar 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Adakamaranahalli,Harokyathanahalli,Venkatappanapalya,0000373668,0006373743,250034591,"Deep Tubewell","Ground Water","Village limit","G Revival of MWS Scheme",2013-2014,6.00000,4.57315,"25 Apr 2014","31 Mar 2017",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Adakamaranahalli,Adakamaranahalli,Prababhanagar,0000373664,0006373753,250065333,"Deep Tubewell","Ground Water","Colony Limit","Revival of MWS Scheme",2013-2014,6.00000,0.98856,"25 Apr 2014","01 Mar 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Huskur,Halasimaradapalya,Halasinamaradapalya,0000373690,0006373817,250034618,"Deep Tubewell","Ground Water","Village  limit","G Revival of MWS Scheme",2013-2014,6.00000,3.33565,"25 Apr 2014","31 Mar 2017",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Huskur,Torenagasandra,Torenagasandra,0000373693,0006373821,250034620,"Deep Tubewell","Ground Water","Villae limit","Revival of MWS Scheme",2013-2014,7.00000,0.00000,"25 Apr 2014","25 Aug 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Huskur,Kodipalya,Kodipalya,0000373678,0006373855,250034634,"Deep Tubewell","Ground Water","Village  limit","Revival of MWS  Scheme",2013-2014,6.00000,5.52468,"25 Apr 2014","14 Jan 2015",2024-06-07
